ID,Name,Address,Zip,Date,Result
6720,The Santa Fe Bridge,2901 NE 39th Avenue,32602,10/12/16,Satisfactory
8334,The Santa Fe Bridge,2901 NE 39th Avenue,32602,1/10/17,Satisfactory
3715,Theta Chi Fraternity,501 Fraternity Drive,32604,4/12/16,Satisfactory
3173,Theta Chi Fraternity,501 Fraternity Drive,32604,9/20/16,Satisfactory
8100,Theta Chi Fraternity,501 Fraternity Drive,32604,11/30/16,Satisfactory
9668,"Tipple's Brews of Gainesville, LLC","2440 SW 76th Street, Suite 110",32608,12/22/16,Satisfactory
2831,Tower Club @ The Village,2625 NW 77th Boulevard,32606,5/9/16,Satisfactory
5251,Tower Club @ The Village,2625 NW 77th Boulevard,32606,8/29/16,Satisfactory
2653,Tower Club @ The Village,2625 NW 77th Boulevard,32606,11/7/16,Satisfactory
1540,Tower Club @ The Village,2625 NW 77th Boulevard,32606,1/13/17,Satisfactory
4308,Transitions,3807 SW 34 Street,32608,5/4/16,Satisfactory
9435,Transitions,3807 SW 34 Street,32608,8/9/16,Satisfactory
7100,Transitions,3807 SW 34 Street,32608,11/15/16,Satisfactory
8233,Transitions,3807 SW 34 Street,32608,1/26/17,Satisfactory
4066,Turlington Food Court,Stadium  Road,32611,6/15/16,Satisfactory
9983,Turlington Food Court,Stadium  Road,32611,8/19/16,Incomplete
7088,Turlington Food Court,Stadium  Road,32611,8/31/16,Satisfactory
1236,Turlington Food Court,Stadium  Road,32611,11/10/16,Satisfactory
2328,Turlington Food Court,Stadium  Road,32611,3/2/17,Satisfactory
6812,U of Fl/Aramark/Wendy's,114 Rec Center Dining,32611,6/27/16,Satisfactory
4497,U of Fl/Aramark/Wendy's,114 Rec Center Dining,32611,8/5/16,Satisfactory
2804,U of Fl/Aramark/Wendy's,114 Rec Center Dining,32611,11/29/16,Satisfactory
9919,U of Fl/Aramark/Wendy's,114 Rec Center Dining,32611,3/9/17,Satisfactory
9320,University Club,18 E University Avenue,32601,2/17/17,Satisfactory
8964,University of Florida Campus,UF Campus - Stadium Drive,32611,9/17/16,Satisfactory
9230,University of Florida Campus,UF Campus - Stadium Drive,32611,2/27/17,Satisfactory
7347,University of Florida Foundation  Inc.,1938 W University Avenue,32603,9/15/16,Satisfactory
9500,University of Florida Foundation  Inc.,1938 W University Avenue,32603,1/20/17,Satisfactory
9836,University of Florida/PK Yonge DRS,1080 SW 11th Street,32601,9/8/16,Satisfactory
2966,University of Florida/PK Yonge DRS,1080 SW 11th Street,32601,12/7/16,Satisfactory
1704,University of Florida/PK Yonge DRS,1080 SW 11th Street,32601,3/16/17,Satisfactory
9307,VFW 2811,1150 NE Waldo Road,32602,4/25/16,Satisfactory
2124,VFW 2811,1150 NE Waldo Road,32602,7/15/16,Satisfactory
4725,VFW 2811,1150 NE Waldo Road,32602,10/4/16,Satisfactory
3245,VFW 2811,1150 NE Waldo Road,32602,1/4/17,Satisfactory
5139,W. S. Talbot Elementary School,5701 NW 43 Street,32653,6/2/16,Satisfactory
8683,W. S. Talbot Elementary School,5701 NW 43 Street,32653,7/7/16,Satisfactory
9097,W. S. Talbot Elementary School,5701 NW 43 Street,32653,10/4/16,Satisfactory
9625,W. S. Talbot Elementary School,5701 NW 43 Street,32653,1/4/17,Satisfactory
7685,W. Travis Loften High School,3000 E University Avenue,32641,5/5/16,Satisfactory
6127,W. Travis Loften High School,3000 E University Avenue,32641,11/3/16,Satisfactory
7790,W. Travis Loften High School,3000 E University Avenue,32641,1/31/17,Satisfactory
4280,Westwood Middle School,3215 N W 15 Avenue,32605,6/8/16,Satisfactory
6569,Westwood Middle School,3215 N W 15 Avenue,32605,10/3/16,Satisfactory
3643,Westwood Middle School,3215 N W 15 Avenue,32605,4/29/16,Satisfactory
2810,Whiskey House,60 SW 2nd Street,32601,12/22/16,Satisfactory
3331,Wiles Elementary School,4601 SW 75th Street,32608,5/16/16,Satisfactory
2702,Wiles Elementary School,4601 SW 75th Street,32608,8/23/16,Satisfactory
3291,Wiles Elementary School,4601 SW 75th Street,32608,11/15/16,Satisfactory
1912,Wiles Elementary School,4601 SW 75th Street,32608,2/16/17,Satisfactory
5181,Williams Elementary School,1245 S E 7th Avenue,32641,5/5/16,Satisfactory
7201,Williams Elementary School,1245 S E 7th Avenue,32641,9/1/16,Satisfactory
4707,Williams Elementary School,1245 S E 7th Avenue,32641,11/3/16,Satisfactory
4050,Williams Elementary School,1245 S E 7th Avenue,32641,2/1/17,Satisfactory
4077,Xclusive Cafe,1221 E University Avenue,32609,12/23/16,Satisfactory
3125,Xclusive Cafe,1221 E University Avenue,32609,11/18/16,Satisfactory
9447,"Zeta Tau Alpha Fraternity Housing, Corp.",1142 E Panhellenic Drive,32601,3/30/16,Satisfactory
2027,"Zeta Tau Alpha Fraternity Housing, Corp.",1142 E Panhellenic Drive,32601,9/15/16,Satisfactory
1293,"Zeta Tau Alpha Fraternity Housing, Corp.",1142 E Panhellenic Drive,32601,1/11/17,Satisfactory
1546,ZL Sung SDA School Junior Academy,2115 NW 39th Avenue,32605,5/16/16,Satisfactory
6744,ZL Sung SDA School Junior Academy,2115 NW 39th Avenue,32605,10/21/16,Satisfactory
